Image Area Perimeter Major Minor Circularity
I-1-5.tif NA NA NA NA NA
I-1-6.tif NA NA NA NA NA
I-2-1.tif NA NA NA NA NA
I-2-2.tif NA NA NA NA NA
I-2-3.tif NA NA NA NA NA
J-1-1.tif NA NA NA NA NA
J-1-2.tif NA NA NA NA NA
J-1-3.tif NA NA NA NA NA
J-1-4.tif NA NA NA NA NA
J-1-5.tif NA NA NA NA NA
J-1-6.tif NA NA NA NA NA
